District,City,Area,LocationType,SyncId,Active
NASHIK,NASHIK,NASIK ROAD,AREA,A000002072,1
NASHIK,PIMPALGAON BASWANT,NEAR RUCHA HOTEL,AREA,A000002073,1
YAWATMAL,NER,NER,AREA,A000002074,1
NASHIK,NASHIK,NEW ADGAON NAKA,AREA,A000002075,1
NASHIK,PIMPALGAON BASWANT,NIFAD RAOD,AREA,A000002076,1
AHMEDNAGAR,AHMEDNAGAR,NORTH AHMEDNAGAR,AREA,A000002077,1
AURANGABAD,AURANGBAAD,NORTH AURANGABAD,AREA,A000002078,1
BEED,GAVERAI,NORTH GAVERAI,AREA,A000002079,1
JALNA,JALNA,North JALNA,AREA,A000002080,1
AHMEDNAGAR,JAMKHED,NORTH JAMKHED,AREA,A000002081,1
AHMEDNAGAR,KOPERGAON,NORTH KOPERGAON,AREA,A000002082,1
AHMEDNAGAR,LONI ( BK),NORTH LONI ( BK),AREA,A000002083,1
BEED,MAJALGAON,NORTH MAJALGAON,AREA,A000002084,1
AHMEDNAGAR,SANGAMNER,NORTH SANGAMNER,AREA,A000002085,1
AHMEDNAGAR,SHRIRAMPUR,NORTH SHRIRAMPUR,AREA,A000002086,1
NASHIK,NASHIK,OLD ADGAON NAKA,AREA,A000002087,1
NASHIK,NASHIK,OLD GANGAPUR NAKA,AREA,A000002088,1
NASHIK,NASHIK,OLD SAIKHEDA RAOD,AREA,A000002089,1
OSMANABAD,UMARGA,OMARGA,AREA,A000002090,1
NASHIK,NASHIK,PAKHAL ROAD,AREA,A000002091,1
PALGHAR,PALGHAR,PALGHAR WEST,AREA,A000002092,1
SANGLI,SANGLI,PALUS,AREA,A000002093,1
NASHIK,NASHIK,PANCHVAATI,AREA,A000002094,1
NASHIK,NASHIK,PANCHVATI,AREA,A000002095,1
SOLAPUR,PANDHARPUR,PANDHARPUR ,AREA,A000002096,1
YAWATMAL,PANDHRAKWAD,PANDHRAKWAD,AREA,A000002097,1
NASHIK,NASHIK,PANDIT COLONY,AREA,A000002098,1
OSMANABAD,PARANDA,PARANDA,AREA,A000002099,1
AMRAVTI,PARATWAD,PARATWAD,AREA,A000002100,1
NASHIK,NASHIK,PARIJAT NAGAR,AREA,A000002101,1
GOA,PARVORIM,PARVORIM,AREA,A000002102,1
NASHIK,NASHIK,PATHARDI,AREA,A000002103,1
NASHIK,NASHIK,PATHERDI PHATA,AREA,A000002104,1
AKOLA,PATUR,PATUR,AREA,A000002105,1
NASHIK,NASHIK,PAWAN NAGAR,AREA,A000002106,1
NASHIK,NASHIK,PETH NAKA,AREA,A000002107,1
NASHIK,NASHIK,PIPILINE ROAD,AREA,A000002108,1
YAWATMAL,RADEGAON ,RADEGAON ,AREA,A000002109,1
GOA,RAIA,RAIA,AREA,A000002110,1
NASHIK,NASHIK,RAVIVAR KARANAJA,AREA,A000002111,1
WASHIM,RISOD,RISOD,AREA,A000002112,1
GOA,SAKLIM,SAKLIM,AREA,A000002113,1
NASHIK,NASHIK,SALE TAX OFFICE RAOD,AREA,A000002114,1
NASHIK,NASHIK,SAMARTH NAGAR,AREA,A000002115,1
NASHIK,NASHIK,SAMBHAJI CHOWK,AREA,A000002116,1
SOLAPUR,SANGOLA,SANGOLA,AREA,A000002117,1
BULDHANA,SANGRAMPUR,SANGRAMPUR,AREA,A000002118,1
MUMBAI,SANTACRUZ,SANTACRUZ EAST,AREA,A000002119,1
MUMBAI,SANTACRUZ,SANTACRUZ WEST,AREA,A000002120,1
NAGPUR,SAONER,SAONER,AREA,A000002121,1
SATARA,SATARA,SATARA ,AREA,A000002122,1
NASHIK,NASHIK,SATPUR,AREA,A000002123,1
NASHIK,NASHIK,SATPUR MIDC,AREA,A000002124,1
NASHIK,NASHIK,SAUBHAGYA NAGAR,AREA,A000002125,1
GOA,SAVORDEM,SAVORDEM,AREA,A000002126,1
NASHIK,NASHIK,SAWTA NAGAR,AREA,A000002127,1
NASHIK,NASHIK,SAYYAD PIMPRI,AREA,A000002128,1
NASHIK,NASHIK,SHARANPUR,AREA,A000002129,1
WASHIM,SHELU BAJAR,SHELU BAJAR,AREA,A000002130,1
NASHIK,NASHIK,SHINDE PALSE,AREA,A000002131,1
GOA,SHIRODA,SHIRODA,AREA,A000002132,1
KOLHAPUR,SHIROL,SHIROL,AREA,A000002133,1
NASHIK,NASHIK,SHIVAJI NAGAR,AREA,A000002134,1
GOA,SHIVOLIM,SHIVOLIM,AREA,A000002135,1
NASHIK,NASHIK,SHREEN MEDOWS,AREA,A000002136,1
BULDHANA,SINDHKED RAJA,SINDHKED RAJA,AREA,A000002137,1
NASHIK,NASHIK,SINNAR PHATA,AREA,A000002138,1
AHMEDNAGAR,AHMEDNAGAR,SOUTH AHMEDNAGAR,AREA,A000002139,1
AURANGABAD,AURANGBAAD,SOUTH AURANGABAD,AREA,A000002140,1
BEED,GAVERAI,SOUTH GAVERAI,AREA,A000002141,1
JALNA,JALNA,South JALNA,AREA,A000002142,1
AHMEDNAGAR,JAMKHED,SOUTH JAMKHED,AREA,A000002143,1
AHMEDNAGAR,KOPERGAON,SOUTH KOPERGAON,AREA,A000002144,1
AHMEDNAGAR,LONI ( BK),SOUTH LONI ( BK),AREA,A000002145,1
BEED,MAJALGAON,SOUTH MAJALGAON,AREA,A000002146,1
AHMEDNAGAR,SANGAMNER,SOUTH SANGAMNER,AREA,A000002147,1
AHMEDNAGAR,SHRIRAMPUR,SOUTH SHRIRAMPUR,AREA,A000002148,1
NASHIK,NASHIK,ST COLONY,AREA,A000002149,1
GONDIA,GONDIA,"STATION ROAD, GOREGAON",AREA,A000002150,1
NASHIK,NASHIK,TAKLI ROAD,AREA,A000002151,1
NASHIK,NASHIK,TAPOVAN RAOD,AREA,A000002152,1
NASHIK,NASHIK,TARWALANAGR,AREA,A000002153,1
AKOLA,TELHARA,TELHARA,AREA,A000002154,1
NASHIK,NASHIK,TIDKE COLONY,AREA,A000002155,1
SANGLI,SANGLI,TIMBER AREA,AREA,A000002156,1
NASHIK,NASHIK,TRIMURTI CHOWK,AREA,A000002157,1
OSMANABAD,TULJAPUR,TULJAPUR,AREA,A000002158,1
YAWATMAL,UMRKHED,UMARKHED,AREA,A000002159,1
NAGPUR,UMRED,UMRED,AREA,A000002160,1
NAGPUR,NAGPUR,UMRED ROAD,AREA,A000002161,1
PALGHAR,UMROLI,UMROLI EAST,AREA,A000002162,1
NASHIK,NASHIK,UNTWADI RAOD,AREA,A000002163,1
NASHIK,NASHIK,UPNAGAR,AREA,A000002164,1
GOA,USGAON,USGAON,AREA,A000002165,1
NASHIK,NASHIK,UTTRANAGR,AREA,A000002166,1
GOA,VALPOI,VALPOI,AREA,A000002167,1
PALGHAR,VANGOAN,VANGOAN WEST,AREA,A000002168,1
NASHIK,PIMPALGAON BASWANT,VANI RAOD,AREA,A000002169,1
PALGHAR,VASAI ROAD,VASAI EAST,AREA,A000002170,1
PALGHAR,VASAI ROAD,VASAI WEST,AREA,A000002171,1
GOA,VASCO,VASCO,AREA,A000002172,1
NASHIK,NASHIK,VIDHATENAGAR,AREA,A000002173,1
MUMBAI,VILE PARLE ,VILE PARLE EAST,AREA,A000002174,1
MUMBAI,VILE PARLE ,VILE PARLE WEST,AREA,A000002175,1
NASHIK,NASHIK,VINAY NAGAR,AREA,A000002176,1
PALGHAR,VIRAR,VIRAR EAST,AREA,A000002177,1
PALGHAR,VIRAR,VIRAR WEST,AREA,A000002178,1
NASHIK,NASHIK,VISE MALA,AREA,A000002179,1
NASHIK,NASHIK,WADALA GAON,AREA,A000002180,1
NASHIK,NASHIK,WADALA RAOD,AREA,A000002181,1
MUMBAI,WADALA,WADALA WEST,AREA,A000002182,1
YAWATMAL,WANI,WANI,AREA,A000002183,1
NAGPUR,NAGPUR,WARDHA ROAD,AREA,A000002184,1
AMRAVTI,WARUD ,WARUD ,AREA,A000002185,1
OSMANABAD,WASHI,WASHI,AREA,A000002186,1
AHMEDNAGAR,AHMEDNAGAR,WEST AHMEDNAGAR,AREA,A000002187,1
AURANGABAD,AURANGBAAD,WEST AURANGABAD,AREA,A000002188,1
BEED,GAVERAI,WEST GAVERAI,AREA,A000002189,1
JALNA,JALNA,West JALNA,AREA,A000002190,1
AHMEDNAGAR,JAMKHED,WEST JAMKHED,AREA,A000002191,1
AHMEDNAGAR,KOPERGAON,WEST KOPERGAON,AREA,A000002192,1
AHMEDNAGAR,LONI ( BK),WEST LONI ( BK),AREA,A000002193,1
BEED,MAJALGAON,WEST MAJALGAON,AREA,A000002194,1
AHMEDNAGAR,SANGAMNER,WEST SANGAMNER,AREA,A000002195,1
AHMEDNAGAR,SHRIRAMPUR,WEST SHRIRAMPUR,AREA,A000002196,1
NASHIK,NASHIK,XLO POINT,AREA,A000002197,1
YAWATMAL,YAWATMAL,YAWATMAL,AREA,A000002198,1
YAWATMAL,ZARI JAMNI ,ZARI JAMNI,AREA,A000002199,1
NASHIK,NASHIK,ZEHAN CIRCLE,AREA,A000002200,1
