State,District,LocationType,SyncId,Active
Arunachal Pradesh,PAPUM PARE,DISTRICT,,1
Arunachal Pradesh,TAWANG,DISTRICT,,1
Arunachal Pradesh,TIRAP,DISTRICT,,1
Arunachal Pradesh,UPPER DIBANG VALLEY,DISTRICT,,1
Arunachal Pradesh,UPPER SIANG,DISTRICT,,1
Arunachal Pradesh,UPPER SUBANSIRI,DISTRICT,,1
Arunachal Pradesh,WEST KAMENG,DISTRICT,,1
Arunachal Pradesh,WEST SIANG,DISTRICT,,1
Assam,BAKSA,DISTRICT,,1
Assam,BARPETA,DISTRICT,,1
Assam,BONGAIGAON,DISTRICT,,1
Assam,CACHAR,DISTRICT,,1
Assam,CHIRANG,DISTRICT,,1
Assam,DARRANG,DISTRICT,,1
Assam,DHEMAJI,DISTRICT,,1
Assam,DHUBRI,DISTRICT,,1
Assam,DIBRUGARH,DISTRICT,,1
Assam,DIMA HASAO,DISTRICT,,1
Assam,GOALPARA,DISTRICT,,1
Assam,GOLAGHAT,DISTRICT,,1
Assam,HAILAKANDI,DISTRICT,,1
Assam,JORHAT,DISTRICT,,1
Assam,KAMRUP,DISTRICT,,1
Assam,KAMRUP METROPOLITAN,DISTRICT,,1
Assam,KARBI ANGLONG,DISTRICT,,1
Assam,KARIMGANJ,DISTRICT,,1
Assam,KOKRAJHAR,DISTRICT,,1
Assam,LAKHIMPUR,DISTRICT,,1
Assam,MORIGAON,DISTRICT,,1
Assam,NAGAON,DISTRICT,,1
Assam,NALBARI,DISTRICT,,1
Assam,SIVASAGAR,DISTRICT,,1
Assam,SONITPUR,DISTRICT,,1
Assam,TINSUKIA,DISTRICT,,1
Assam,UDALGURI,DISTRICT,,1
Bihar,ARARIA,DISTRICT,,1
Bihar,ARWAL,DISTRICT,,1
Bihar,AURANGABAD,DISTRICT,,1
Bihar,BANKA,DISTRICT,,1
Bihar,BEGUSARAI,DISTRICT,,1
Bihar,BHAGALPUR,DISTRICT,,1
Bihar,BHOJPUR,DISTRICT,,1
Bihar,BUXAR,DISTRICT,,1
Bihar,DARBHANGA,DISTRICT,,1
Bihar,EAST CHAMPARAN (MOTIHARI),DISTRICT,,1
Bihar,GAYA,DISTRICT,,1
Bihar,GOPALGANJ,DISTRICT,,1
Bihar,JAMUI,DISTRICT,,1
Bihar,JEHANABAD,DISTRICT,,1
Bihar,KAIMUR (BHABUA),DISTRICT,,1
Bihar,KATIHAR,DISTRICT,,1
Bihar,KHAGARIA,DISTRICT,,1
Bihar,KISHANGANJ,DISTRICT,,1
Bihar,LAKHISARAI,DISTRICT,,1
Bihar,MADHEPURA,DISTRICT,,1
Bihar,MADHUBANI,DISTRICT,,1
Bihar,MUNGER (MONGHYR),DISTRICT,,1
Bihar,MUZAFFARPUR,DISTRICT,,1
Bihar,NALANDA,DISTRICT,,1
Bihar,NAWADA,DISTRICT,,1
Bihar,PATNA,DISTRICT,,1
Bihar,PURNIA (PURNEA),DISTRICT,,1
Bihar,ROHTAS,DISTRICT,,1
Bihar,SAHARSA,DISTRICT,,1
Bihar,SAMASTIPUR,DISTRICT,,1
Bihar,SARAN,DISTRICT,,1
Bihar,SHEIKHPURA,DISTRICT,,1
Bihar,SHEOHAR,DISTRICT,,1
Bihar,SITAMARHI,DISTRICT,,1
Bihar,SIWAN,DISTRICT,,1
Bihar,SUPAUL,DISTRICT,,1
Bihar,VAISHALI,DISTRICT,,1
Bihar,WEST CHAMPARAN,DISTRICT,,1
Chandigarh,CHANDIGARH,DISTRICT,,1
CHHAATTISGARH,BALOD,DISTRICT,,1
CHHAATTISGARH,BALODA BAZAR,DISTRICT,,1
CHHAATTISGARH,BALRAMPUR,DISTRICT,,1
CHHAATTISGARH,BASTAR,DISTRICT,,1
CHHAATTISGARH,BEMETARA,DISTRICT,,1
CHHAATTISGARH,BIJAPUR,DISTRICT,,1
CHHAATTISGARH,BILASPUR,DISTRICT,,1
CHHAATTISGARH,DANTEWADA,DISTRICT,,1
CHHAATTISGARH,DHAMTARI,DISTRICT,,1
CHHAATTISGARH,DURG,DISTRICT,,1
CHHAATTISGARH,GARIABAND,DISTRICT,,1
CHHAATTISGARH,JANJGIR-CHAMPA,DISTRICT,,1
CHHAATTISGARH,JASHPUR,DISTRICT,,1
CHHAATTISGARH,KABIRDHAM,DISTRICT,,1
CHHAATTISGARH,KANKER,DISTRICT,,1
CHHAATTISGARH,KONDAGAON,DISTRICT,,1
CHHAATTISGARH,KORBA,DISTRICT,,1
CHHAATTISGARH,KORIYA,DISTRICT,,1
CHHAATTISGARH,MAHASAMUND,DISTRICT,,1
CHHAATTISGARH,MUNGELI,DISTRICT,,1
CHHAATTISGARH,NARAYANPUR,DISTRICT,,1
CHHAATTISGARH,RAIGARH,DISTRICT,,1
CHHAATTISGARH,RAIPUR,DISTRICT,,1
CHHAATTISGARH,RAJNANDGAON,DISTRICT,,1
CHHAATTISGARH,SUKMA,DISTRICT,,1
CHHAATTISGARH,SURAJPUR,DISTRICT,,1
CHHAATTISGARH,SURGUJA,DISTRICT,,1
Daman und Diu,DAMAN,DISTRICT,,1
Daman und Diu,DIU,DISTRICT,,1
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DISTRICT,,1
Goa,NORTH GOA,DISTRICT,,1
Goa,SOUTH GOA,DISTRICT,,1
Gujarat,AHMEDABAD,DISTRICT,,1
Gujarat,AMRELI,DISTRICT,,1
Gujarat,ANAND,DISTRICT,,1
Gujarat,ARAVALLI,DISTRICT,,1
Gujarat,BANASKANTHA,DISTRICT,,1
