DocId*,DistributorSynchid*,PostingDate*,Narration,Amount,crAmount,DrAmount,CompanyCode,Entry No_
SG-ST-18-01500,C0000080,28/04/2018,Invoice SG-ST-18-01453,206939.88,0,206939.88,,2073907
SG-ST-18-01501,C0009000,28/04/2018,Invoice SG-ST-18-01455,268642.6,0,268642.6,,2073912
SG-ST-18-01502,C0002630,28/04/2018,Invoice SG-ST-18-01599,1128831.8,0,1128831.8,,2073930
SG-ST-18-01503,C0000200,28/04/2018,Invoice SG-ST-18-01387,384075.47,0,384075.47,,2073936
SG-ST-18-01504,C0001200,28/04/2018,Invoice SG-ST-18-01460,52057.86,0,52057.86,,2073941
SG-ST-18-01505,C0012240,28/04/2018,Invoice SG-ST-18-01464,156162.89,0,156162.89,,2073955
SG-ST-18-01506,C0013670,28/04/2018,Invoice SG-ST-18-01466,150222.3,0,150222.3,,2073960
SG-ST-18-01507,C0002610,28/04/2018,Invoice SG-ST-18-01104,2485658.6,0,2485658.6,,2073981
SG-ST-18-01508,C0013320,28/04/2018,Invoice SG-ST-18-01414,298149.39,0,298149.39,,2073985
SG-ST-18-01509,C0002500,28/04/2018,Invoice SG-ST-18-01467,87203.14,0,87203.14,,2074002
SG-ST-18-01510,C0002800,28/04/2018,Invoice SG-ST-18-01468,2537.92,0,2537.92,,2074006
SG-ST-18-01511,C0012220,28/04/2018,Invoice SG-ST-18-01469,32270.62,0,32270.62,,2074011
SG-ST-18-01512,C0001970,28/04/2018,Invoice SG-ST-18-01472,298758.64,0,298758.64,,2074031
SG-ST-18-01513,C0014940,28/04/2018,Invoice SG-ST-18-01474,128473.53,0,128473.53,,2074037
SG-ST-18-01514,C0015700,28/04/2018,Invoice SG-ST-18-01481,402973.92,0,402973.92,,2074042
SG-ST-18-01515,C0015610,28/04/2018,Invoice SG-ST-18-01482,28601.79,0,28601.79,,2074059
SG-ST-18-01516,C0008640,28/04/2018,Invoice SG-ST-18-01483,42788.84,0,42788.84,,2074064
SG-ST-18-01517,C0013190,28/04/2018,Invoice SG-ST-18-01484,44291.93,0,44291.93,,2074069
SG-ST-18-01518,C0012330,28/04/2018,Invoice SG-ST-18-01486,103842.24,0,103842.24,,2074077
SG-ST-18-01519,C0001220,28/04/2018,Invoice SG-ST-18-01488,425075.74,0,425075.74,,2074093
SG-ST-18-01520,C0017470,28/04/2018,Invoice SG-ST-18-01489,245536.26,0,245536.26,,2074099
SG-ST-18-01521,C0015740,28/04/2018,Invoice SG-ST-18-01494,52476.35,0,52476.35,,2074114
SG-ST-18-01522,C0001130,28/04/2018,Invoice SG-ST-18-01338,499740.34,0,499740.34,,2074130
SG-ST-18-01523,C0016290,28/04/2018,Invoice SG-ST-18-01306,269824.23,0,269824.23,,2074137
BRV-APR18-1206,C0009200,27/04/2018,MAHALKA SALES AGENCIES,-450000,450000,0,,2074152
BRV-APR18-1207,C0015470,27/04/2018,DEEP SII DISTRIBUTORS,-2000000,2000000,0,,2074154
BRV-APR18-1208,C0017100,27/04/2018,SHREE RANI SATI AGENCY,-170000,170000,0,,2074157
BRV-APR18-1209,C0010970,27/04/2018,SHIV GOPAL PURSOTTAM DAS,-500000,500000,0,,2074159
BRV-APR18-1210,C0010980,27/04/2018,RAHUL KIRANA STORE,-500000,500000,0,,2074161
BRV-APR18-1211,C0000680,27/04/2018,GARG AGENCIES,-950000,950000,0,,2074163
BRV-APR18-1212,C0002800,27/04/2018,VIKAS ENTERPRISES,-350000,350000,0,,2074165
BRV-APR18-1213,C0008930,27/04/2018,KALPANA TRADERRS,-125000,125000,0,,2074167
BRV-APR18-1214,C0015020,27/04/2018,jai hanuman-murliganj,-200000,200000,0,,2074169
BRV-APR18-1215,C0009610,27/04/2018,SATISH AGENCY,-400000,400000,0,,2074171
BRV-APR18-1216,C0002300,27/04/2018,SETH MAL KANHAIYA LAL,-500000,500000,0,,2074173
BRV-APR18-1217,G0000230,27/04/2018,LALA D.NANDAN N.KISHORE AGENCIES,-400000,400000,0,,2074175
BRV-APR18-1218,C0017190,27/04/2018,HARIOM AGENCIES,-40000,40000,0,,2074177
BRV-APR18-1219,C0015410,27/04/2018,SHREE BALA JI TRADERS,-350000,350000,0,,2074179
BRV-APR18-1220,G0000050,27/04/2018,AGARWAL TRADING CO.,-400000,400000,0,,2074181
BRV-APR18-1221,C0016890,27/04/2018,S.R.TRADERS,-300000,300000,0,,2074183
BRV-APR18-1222,C0000100,27/04/2018,AGARWAL TRADERS,-400000,400000,0,,2074185
BRV-APR18-1223,C0001370,27/04/2018,MANU FOOD PRODUCTS (P) LTD,-1500000,1500000,0,,2074187
BRV-APR18-1224,C0014190,27/04/2018,SHRI SAI JI TRADING COMPANY ,-100000,100000,0,,2074189
BRV-APR18-1225,C0002310,27/04/2018,SETHIA ENTERPRISES,-1500000,1500000,0,,2074191
BRV-APR18-1226,C0015020,27/04/2018,anand tr.-bistoria,-200000,200000,0,,2074193
BRV-APR18-1227,C0016760,27/04/2018,NITIN ENTERPRISES,-100000,100000,0,,2074195
BRV-APR18-1228,C0000830,27/04/2018,GUPTA SALES CORPORATION,-650000,650000,0,,2074197
BRV-APR18-1229,C0016670,27/04/2018,POOJA ENTERPRISES,-565000,565000,0,,2074199
BRV-APR18-1230,C0002280,27/04/2018,SARASWATI TRADING COMPANY,-175000,175000,0,,2074201
BRV-APR18-1231,C0000670,27/04/2018,GANESH PRASAD GUPTA,-550000,550000,0,,2074203
BRV-APR18-1232,C0013150,27/04/2018,TANMAN SPORTS AND GEN ORDER SUPP,-90000,90000,0,,2074205
BRV-APR18-1233,C0002590,27/04/2018,SRI RAUNIYAR BROTHERS,-250000,250000,0,,2074207
BRV-APR18-1234,C0001220,27/04/2018,MAA SANKATA TRADING COMPANY,-300000,300000,0,,2074209
BRV-APR18-1235,C0001220,27/04/2018,MAA SANKATA TRADING COMPANY,-200000,200000,0,,2074211
